node_id_to,node_id_from
0,2259
2246,2259
0,10302
10304,10302
1,3468
5508,3468
2,749
4320,749
2,4551
4320,4551
3,5032
814,5032
4,3791
11832,3791
4,8927
11832,9758
5,5738
9690,5738
5,6401
9690,6401
6,3345
3258,3345
6,4894
3258,4894
7,869
3222,869
7,7943
3222,7943
8,1262
4974,1262
10750,1262
8,4218
4974,4218
8,10908
10750,10908
9,5363
8815,5363
9,2449
8815,2449
10,1828
7966,1828
10,5422
7966,5422
11,2149
418,2149
11,6203
418,6203
12,3482
2944,3482
12,4173
2944,4173
13,9115
7186,9115
13,10615
14,4171
2801,4171
14,7066
2801,7066
15,4063
5430,4063
15,7711
5430,7711
16,6669
2001,6669
17,3203
5707,3203
17,3254
5707,3254
18,651
4564,651
10209,651
18,1861
4564,1861
9898,1861
18,10809
9898,10809
10209,10809
4564,9759
9898,9759
10209,9759
19,7869
5231,7869
6664,7869
20,334
2614,334
20,6754
2614,6754
21,2570
21,8957
23,1692
23,1848
24,6305
24,8054
25,8347
12022,8347
25,9739
26,1527
3359,1527
27,4121
1023,4121
11206,4121
27,6256
1023,6256
10722,6256
27,9995
10722,9995
11206,9995
1023,9760
10722,9760
11206,9760
28,4740
5844,4740
28,6609
5844,6609
29,584
868,584
29,5026
868,5026
30,1865
1299,1865
11902,1865
30,9221
1299,9221
30,10071
11902,10071
31,2190
927,2190
31,6939
927,6939
10293,6939
31,9973
10293,9973
32,5048
5014,5048
32,6094
5014,6094
33,1396
1807,1396
11974,1396
33,9542
1807,9542
33,10196
11974,10196
34,6049
1783,6049
34,2471
1783,2471
35,7806
8957,7806
36,1793
9488,1793
36,459
9488,459
37,4755
6825,4755
37,7978
6825,7978
38,7041
3618,7041
38,8221
3618,8221
39,308
39,648
40,6285
8654,6285
40,8840
8654,8840
41,5223
5911,5223
11583,5223
41,7880
5911,7880
41,11136
11583,11136
42,9080
5137,9080
8655,9080
42,10954
8655,10954
43,1029
7090,1029
43,9433
7090,9433
44,1405
5120,1405
10342,1405
44,2406
5120,2406
44,10948
10342,10948
45,6928
1594,6928
45,8741
1594,8741
46,2140
1227,2140
10982,2140
46,5271
1227,5271
46,10053
10982,10053
47,579
4639,579
5283,579
47,5018
4639,5018
5283,5018
47,4542
4639,4542
5283,4542
48,488
1728,488
48,4983
1728,4983
49,2045
7299,2045
49,4403
7299,4403
50,5873
6743,5873
51,6044
2071,6044
51,7505
2071,7505
52,5900
5781,5900
52,6827
5781,6827
53,7420
5458,7420
53,8616
5458,8616
5458,9761
54,4814
9172,4814
54,6144
9172,6144
55,6324
1392,6324
56,2917
6163,2917
56,4326
6163,4326
57,5570
5869,5570
57,9063
5869,9063
58,2668
3021,2668
10621,2668
58,3605
3021,3605
3021,9762
10621,9762
59,6154
7388,6154
60,5783
2125,5783
60,10274
11105,10274
61,578
61,5024
62,2428
2225,2428
9637,2428
62,12003
2225,12003
63,3378
5704,3378
11749,3378
63,8543
5704,8543
5704,11416
11749,11416
64,5862
465,5862
465,9763
65,3314
8360,3314
11743,3314
65,8515
8360,8515
8360,9764
11743,9764
66,1703
200,1703
66,4666
200,4666
10166,4666
66,11224
10166,11224
67,4808
6264,4808
67,11208
68,2809
7561,2809
68,6765
7561,6765
69,723
5355,723
5355,9765
70,1306
7597,1306
12015,1306
70,9718
7597,9718
7597,11753
12015,11753
71,1966
4675,1966
