node_id,PHYSICALID,ST_LABEL,geom_0,geom_1,ST_WIDTH,SHAPE_Leng
0,183608,BENNETT AV,-73.93571740885848 40.852335152313174,-73.93666142761384 40.85044732520501,30.0,735.721079105
1,488,STONE ST,-74.01006968341342 40.70454591413195,-74.00974639311217 40.70477524791872,14.0,122.53870005200001
2,79723,GOLD ST,-74.00653116871753 40.70822712625459,-74.0068377870997 40.707857835737876,14.0,159.149458558
3,179568,E 109 ST,-73.94808516529754 40.795536417729416,-73.94968682996546 40.79621698487826,30.0,508.09256515699997
4,3904,AMSTERDAM AV,-73.93191507377053 40.8467105236121,-73.93185010295767 40.84680263276957,30.0,38.0698690576
5,1121,8 AV,-73.99574855573138 40.749052196220944,-73.99529821527037 40.74967168209748,68.0,257.89436848400004
6,21835,E 61 ST,-73.95880955474563 40.75991278601397,-73.96106754453669 40.76085809262594,35.0,714.075355588
7,474,GREENWICH ST,-74.00679907002781 40.73572292371414,-74.006620319663 40.736431696922914,38.0,262.936961672
8,3667,3 AV,-73.96110997058013 40.76906440780265,-73.9606018063753 40.76974918670643,70.0,286.455576401
9,72676,HARLEM RIVER DR,-73.93469166469954 40.814230630076366,-73.93483229160476 40.814055471812985,38.0,74.75158489649999
10,25124,W 104 ST,-73.97115997034916 40.80102754055912,-73.97100923916177 40.80096750239484,40.0,47.1168177558
11,2347,PARK AV,-73.96204380201743 40.77373364979121,-73.96250593613868 40.773097704098966,42.0,264.701963371
12,1335,7 AV,-73.99786128446578 40.74105636882547,-73.99828702268513 40.7404698215573,58.0,244.10097122099998
13,75924,BRONX SHORE RD,-73.92407246671333 40.80003249548516,-73.92392362530074 40.8000271114367,24.0,41.2556067107
14,1548,FRANKLIN D ROOSEVELT DRIVE,-73.95871908226965 40.75864023211098,-73.95869168112483 40.75867506298769,30.0,14.7872235516
15,2289,COLUMBUS AV,-73.98207933930414 40.77299071196187,-73.98230415717573 40.77261802984363,60.0,149.385237812
16,16526,4 AV,-73.9903901000268 40.731288523324885,-73.99021190972442 40.73199633440485,70.0,262.56394017599996
17,2988,BROADWAY,-73.97073269636819 40.79591917001086,-73.97026645527687 40.79655201203386,40.0,264.245842236
18,21810,CLAREMONT AV,-73.96305844719707 40.810947189809916,-73.9621056178172 40.81225155784538,20.0,543.516577828
19,162,WALL ST,-74.01125467663418 40.707507639991206,-74.01067628670197 40.70711636907521,18.0,214.55993679099998
20,92364,FRAWLEY CIR,-73.94884558971012 40.79670442316843,-73.94906517858907 40.79710049410612,26.0,173.579794876
21,88894,NORFOLK ST,-73.98787935797355 40.71740897253073,-73.98751208052434 40.71807218583022,30.0,262.202560015
22,131408,E 91 ST,-73.94306534571858 40.77891600821518,-73.94300048422413 40.77901690452094,15.0,40.9143200927
23,3357,LEXINGTON AV,-73.97464798076302 40.75336712212524,-73.97510266165389 40.75274137903828,52.0,260.468078467
24,123390,E HOUSTON ST,-73.97607563267007 40.71914981722441,-73.97632400655027 40.71919896582356,38.0,71.1399447868
25,69849,ST NICHOLAS TER,-73.94854029768318 40.82148762281299,-73.94973164992412 40.81792299819364,26.0,1626.21011963
26,136724,RFK BR MANHATTAN EN RP RANDALLS,-73.9223259800923 40.797853518817924,-73.92257341719424 40.79809313809177,30.0,110.973084497
27,2484,PARK AV,-73.98183365081856 40.746416590552194,-73.98134068727681 40.74707866368251,10.0,277.204250542
28,1072,BLEECKER ST,-74.00531381034163 40.73661143386056,-74.00512616431496 40.735961735172545,28.0,242.350637795
29,1064,LEROY ST,-74.00468800159702 40.730321142398914,-74.00430267333925 40.73044666130833,20.0,116.17461622
30,25085,W 188 ST,-73.93177413865699 40.854201767156454,-73.93053868300805 40.853685012665764,30.0,390.20313599300005
31,176756,W 163 ST,-73.94224145731903 40.8378434363573,-73.94373631643596 40.838469720598646,30.0,472.404600636
32,2273,COLUMBUS AV,-73.96107794002158 40.801800357217836,-73.96145754861466 40.80117153998861,60.0,252.056466492
33,24985,W 187 ST,-73.92707982344014 40.85143234288202,-73.92815116066619 40.851863323881844,34.0,335.411018178
34,19359,LENOX AV,-73.95192504742838 40.79879447705719,-73.95146422065001 40.799431855015236,30.0,264.961319613
35,4155,CONNECTOR,-73.98743405826006 40.71821308014949,-73.98710700422124 40.71794157628223,0.0,134.17922221
36,3714,3 AV,-73.9381445755196 40.800509732485516,-73.93768600458877 40.801140916011825,70.0,262.68163449
37,1669,GRAND ST,-73.9985232734708 40.71978514615937,-73.9980538650741 40.719581272625035,34.0,149.827298321
38,78280,HENRY HUDSON PARKWAY ET 13 SB,-73.95032897846166 40.83350059950104,-73.95001472355618 40.833914024886184,12.0,176.25383382400003
39,75925,BRONX SHORE RD,-73.92408559157381 40.800171802254944,-73.92514132037748 40.80011710309474,24.0,295.640067862
40,16559,MN BR APPR,-73.99407340640283 40.713736141389845,-73.99434786695267 40.714247915472,22.0,201.381718198
41,3989,W 56 ST,-73.99422912573793 40.77061003158294,-73.9918923413028 40.769639256509436,32.0,737.593527357
42,26807,RIVERSIDE DR,-73.92726915092015 40.8655345593164,-73.92847743065337 40.86563264481267,30.0,339.811283849
43,19581,E 102 ST,-73.94814678247384 40.789684794036795,-73.94963463063814 40.79031439911018,30.0,471.548554426
44,82482,THAYER ST,-73.92566899266578 40.861258950396,-73.926922433027 40.86323773168464,32.0,799.982158713
45,159594,BOWERY,-73.99401492661438 40.72022668229948,-73.9939448297029 40.72036357566796,34.0,53.538123499899996
46,2615,1 AV,-73.97045172833494 40.7482119506834,-73.96998692099196 40.74886871359965,28.0,271.737508855
47,72604,FDR DR NB EN BK BR,-73.99973380261962 40.70812967779577,-73.99951460906166 40.70810329223748,28.0,62.1398586118
48,4205,BROADWAY,-73.98221563120781 40.764734259845895,-73.98246970821263 40.76403346366594,60.0,264.846431523
49,2756,MANGIN ST,-73.9773667047657 40.71523904471336,-73.97734055767117 40.71529039243223,30.0,20.0626941923
50,24911,HARLEM RIVER DR,-73.92989315122838 40.80006613344479,-73.92989857643448 40.80002352494555,20.0,15.5962645415
51,132790,HARLEM RIVER DR,-73.92982670396407 40.80097866937259,-73.92984435381082 40.801033005916466,20.0,20.3908787512
52,80044,E 13 ST,-73.99094484129402 40.733977692495785,-73.99226599105478 40.734532600809885,30.0,418.249151224
53,19766,W 138 ST,-73.9535726294737 40.821975891625556,-73.95376927439054 40.82205868992624,20.0,62.227227068599994
54,3518,MADISON AV,-73.95694527202029 40.78341729937667,-73.95648701134427 40.78404455166548,52.0,261.40224583599996
55,3260,RIVERSIDE DR,-73.9700474216526 40.80226501033981,-73.96955967325673 40.8029378795327,16.0,279.880243249
56,2912,BROADWAY,-73.94224145731903 40.8378434363573,-73.94269535680036 40.837221854142214,40.0,258.962334794
57,16650,WANAMAKER PL,-73.99050558603597 40.73056495623517,-73.99064024236256 40.73062286996708,44.0,42.8721264302
58,19745,E 86 ST,-73.95709761918755 40.78013417157925,-73.95558440508792 40.77949679927599,30.0,479.118878876
59,99861,CHEROKEE PL,-73.94993561097907 40.76946909552396,-73.94945457605198 40.77008525322962,22.0,261.051287589
60,25087,SICKLES ST,-73.9273296847504 40.86064668484413,-73.92859849961731 40.86261396688416,32.0,798.070903067
61,236,WEST ST,-74.01023707839751 40.732400860194694,-74.01016258075191 40.73316472033709,50.0,279.063005164
62,82989,W 155 ST,-73.93493766978818 40.82816017386733,-73.93501786107433 40.828003429407566,24.0,63.0188237022
63,26770,W 228 ST,-73.90842939594405 40.87601433561062,-73.90904547777558 40.877220720022,22.0,494.995327332
64,92828,AUDUBON AVE,-73.93982667856882 40.83849754530551,-73.93965948406 40.83876004165035,20.0,106.239258105
65,79816,W 34 ST,-73.99835753027254 40.75424389501515,-73.99914292086589 40.75458493369504,30.0,250.572237323
66,3327,E HOUSTON ST,-73.98548248925992 40.72204661767798,-73.98625235291505 40.722315459098596,38.0,234.80227850000003
67,2970,BROADWAY,-73.96380137096992 40.80796160874475,-73.96284778596672 40.809279427472774,40.0,547.912818206
68,3397,LEXINGTON AV,-73.95608218658035 40.778814130556604,-73.95654650812463 40.77818010057944,50.0,264.380810989
69,102447,BROADWAY AL,-73.98228834763424 40.7409554027091,-73.98184111105262 40.74157423272995,6.0,257.276963815
70,174150,W 34 ST,-73.98793687537147 40.74985496658219,-73.99062220016046 40.750991753908224,26.0,851.533863545
71,3862,AMSTERDAM AV,-73.9471168476167 40.82590453192481,-73.9466610365805 40.82652970725307,30.0,260.373772518
72,136628,SUNKEN GARDEN LP,-73.93442122746565 40.786031635095846,-73.93122745208771 40.78695897622242,11.0,1276.37429402
73,179853,E 24 ST,-73.97891574548623 40.737917658659356,-73.97805226497614 40.73755395365618,17.0,273.53045250599996
74,336,12 AVE,-73.99687795781037 40.76683099984974,-73.99733493793164 40.766200956049516,44.0,262.13573081
75,126738,CBE SB EN WASHINGTON BRIDGE,-73.93056803779461 40.84803949852849,-73.9306498278174 40.84796642654421,26.0,36.1153518347
76,16655,MULBERRY ST,-73.9949517803917 40.72486483661553,-73.9948755409393 40.72501746028139,30.0,59.485815164399995
77,83004,W 147 ST,-73.93804407117938 40.822896879257314,-73.93820503278639 40.822964934742075,42.0,50.984658752899996
78,72663,ELDRIDGE ST,-73.9912432824488 40.71956221651296,-73.99062919853361 40.72076590651813,24.0,470.418966417
79,79972,E 46 ST,-73.97034144765342 40.75237878861643,-73.96802446378288 40.7513895300613,34.0,736.212094983
80,1158,BEDFORD ST,-74.00365666056715 40.72934409189169,-74.00395541862507 40.72985689445793,24.0,204.357009335
