k,sigma
1,1.4336900000000001
2,2.819510999999999
3,4.280386
4,5.682673999999998
5,7.074144
6,8.509548
7,9.879547999999998
8,11.260420999999996
9,12.800183999999996
10,14.243188
11,15.532041999999999
12,17.120583999999997
13,18.502304
14,19.909133
15,21.23359300000001
16,22.734762000000003
17,24.090446000000014
18,25.590622000000018
19,27.113528999999996
20,28.437189999999994
21,29.845263999999993
22,31.196627000000007
23,32.569843
24,34.01176100000001
25,35.42344900000001
26,36.881744999999995
27,38.175804999999976
28,39.70726100000001
29,41.075665000000015
30,42.33362
