S,sigma,timelapse
2086,1.4297,2817.334108136
4293,2.7933,2818.596231424
6433,4.1498,2820.419462976
5540,5.4984,2821.635085341
5210,6.8364,2827.350315776
21,8.1822,2832.464594431
588,9.5055,2857.814484866
371,10.8555,2860.112686534
11145,12.1712,2870.077326578
9247,13.48,2872.870405702
976,14.7874,2875.928764908
4228,16.1244,2879.251930606
7869,17.5165,2882.861467419
1664,18.821,2894.346576426
874,20.1558,2902.542207159
2627,21.4564,2906.931389329
8073,22.8023,2911.599628338
310,24.1679,2916.568868121
4792,25.4802,2926.9372418030002
6035,26.7931,2932.4166472340003
7097,28.1214,2949.512536084
4217,29.4186,2955.528851307
2652,30.7361,2961.797054991
980,31.9872,2968.322681573
159,33.2871,2988.401550918
937,34.5303,3030.124577812
6847,35.7669,3087.780862878
5170,37.0197,3103.1921889
3955,38.2551,3562.202351359
3508,39.516,3673.519677893
7441,40.7434,4840.1248756059995
1714,41.9463,7890.039626686
8196,43.1474,8000.352004112
1534,44.3548,8104.628704377999
1755,45.5485,8122.659366717
6324,46.7491,8131.921587884
4829,47.944,8141.499136699
2417,49.1852,8151.307277757999
7468,50.3925,8211.019607049
8080,51.5756,8221.247081317999
1724,52.8413,8231.679771213
6719,54.027,8305.670726178
1506,55.232,8338.133655288
9302,56.4361,8349.247880429
6219,57.6287,8383.179482153
4140,58.8291,8406.241002863999
968,60.0278,8453.312120667999
3212,61.26,8489.184698832
5808,62.4822,8501.471571815999
2114,63.6609,8513.999185638999
10399,64.8458,8539.463508339999
7138,66.1317,8578.301592204
2719,67.3559,9064.159977141
378,68.5302,9517.872313918999
3474,69.7174,10319.588396146999
10558,70.9234,10720.341937591
5128,72.109,11075.657995308
6935,73.2977,11176.01278383
5119,74.4908,11190.63971974
9057,75.7189,11205.496022885
11537,76.8939,11325.866010316
5065,78.1046,11432.569599299
7469,79.2724,11915.567137916
1125,80.4756,11994.55618716
5641,81.6444,12125.18826932
8169,82.822,13348.901141519
9582,84.0353,13466.903040584999
10837,85.2219,13823.689821098
6536,86.3847,16230.018215953
11964,87.5697,16247.605998486999
4933,88.7476,16406.196326142002
5095,89.9116,16459.667078329003
10902,91.1077,16551.032864745
11229,92.296,16701.489705696
8684,93.5,17000.626402152
7496,94.6753,17191.591070755003
11835,95.8378,17210.972299528003
9601,97.0394,17269.671543035
7187,98.2027,17645.223422428
3096,99.3846,18240.907119876003
9188,100.5589,18340.79319558
3619,101.7902,18361.294753458
8837,102.9535,18585.504596273
8003,104.1553,18606.338855663
5582,105.3226,18711.213620429
8973,106.485,19010.312763949
10416,107.646,19053.753094751002
11932,108.8175,19119.540598401003
750,110.0575,19186.074855213003
336,111.2265,19275.85461564
7938,112.4126,19321.203069228002
8717,113.7107,19389.953699824
8777,114.8908,19875.019135679002
2933,116.065,19921.66594926
3677,117.2384,19969.063436414002
10640,118.3979,20040.385367123003
10187,119.5739,20112.464438879
3015,120.7526,20306.43898712
9465,121.9303,20452.613908907002
1311,123.1346,20476.988312797002
